StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,12,22.95,S,6,5050703608671,,,N,FEBA
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,6,22.95,S,0,5050703661836,,,N,JULB
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,7,22.95,S,0,5050703661843,,,N,JULB
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,8,22.95,S,0,5050703661850,,,N,JULB
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,9,22.95,S,0,5050703661867,,,N,JULB
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,10,22.95,S,0,5050703661874,,,N,JULB
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,11,22.95,S,0,5050703661881,,,N,JULB
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,12,22.95,S,0,5050703661898,,,N,JULB
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,3,21.95,S,0,5050703619837,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,4,21.95,S,6,5050703619844,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,5,21.95,S,14,5050703619851,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,6,21.95,S,15,5050703619868,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,7,22.95,S,5,5050703619875,,,N,JULB
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,8,22.95,S,1,5050703619882,,,N,FEBA
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,9,22.95,S,9,5050703619899,,,N,FEBA
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,10,22.95,S,0,5050703619905,,,N,JULB
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,11,22.95,S,4,5050703619912,,,N,FEBA
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,12,22.95,S,0,5050703619929,,,N,JULB
B 499B,GOOR,,Dark Tan/Navy,PU/Synthetic Suede,5 Eye Wing Capped Brogue Oxford Shoe,Resin Sole,64029991,CN,0.668,,,UK,10,13.95,Z,0,5050703574099,,,N,
